"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","22-Nov-2018","       1176.70","       1171.00","       1182.00","       1167.60","       1169.80","       1170.60","       1174.37","    1257089","          1476290045.90","      29394","     689974","         54.89"
"KOTAKBANK","EQ","26-Nov-2018","       1170.60","       1173.15","       1180.00","       1153.05","       1168.55","       1170.55","       1162.42","    2456379","          2855336964.35","      41216","    1208256","         49.19"
"KOTAKBANK","EQ","27-Nov-2018","       1170.55","       1163.10","       1178.95","       1163.10","       1175.10","       1173.55","       1171.61","    1737759","          2035975608.00","      57767","     979720","         56.38"
"KOTAKBANK","EQ","28-Nov-2018","       1173.55","       1172.15","       1187.70","       1157.60","       1162.95","       1160.25","       1173.05","    1950956","          2288563935.00","      40476","     982290","         50.35"
"KOTAKBANK","EQ","29-Nov-2018","       1160.25","       1165.50","       1219.90","       1157.00","       1209.00","       1212.95","       1186.53","    6607241","          7839668286.25","      88735","    4370112","         66.14"
"KOTAKBANK","EQ","30-Nov-2018","       1212.95","       1209.00","       1238.40","       1197.70","       1235.00","       1233.95","       1219.55","    3005495","          3665352436.00","      81694","    1091377","         36.31"
"KOTAKBANK","EQ","03-Dec-2018","       1233.95","       1240.00","       1244.00","       1218.40","       1227.00","       1226.10","       1231.76","    1817913","          2239223713.30","      63409","     937101","         51.55"
"KOTAKBANK","EQ","04-Dec-2018","       1226.10","       1227.00","       1236.30","       1210.00","       1225.90","       1225.30","       1222.69","    1565130","          1913665391.15","      67627","     694719","         44.39"
"KOTAKBANK","EQ","05-Dec-2018","       1225.30","       1221.55","       1228.40","       1203.00","       1213.65","       1211.50","       1211.62","    2856527","          3461011025.60","      68896","    1855571","         64.96"
"KOTAKBANK","EQ","06-Dec-2018","       1211.50","       1205.00","       1205.00","       1171.15","       1183.35","       1180.25","       1185.35","    3097300","          3671395986.30","      81535","    2006521","         64.78"
"KOTAKBANK","EQ","07-Dec-2018","       1180.25","       1181.00","       1345.95","       1176.15","       1284.55","       1279.65","       1274.63","   33807619","         43092109066.80","     688577","    4436912","         13.12"
"KOTAKBANK","EQ","10-Dec-2018","       1279.65","       1244.10","       1289.90","       1188.00","       1201.50","       1198.35","       1223.62","   18948035","         23185149406.75","     457113","    2172063","         11.46"
"KOTAKBANK","EQ","11-Dec-2018","       1198.35","       1189.00","       1239.00","       1171.00","       1239.00","       1218.70","       1196.24","   10078591","         12056399823.25","     249013","    2400472","         23.82"
"KOTAKBANK","EQ","12-Dec-2018","       1218.70","       1229.40","       1261.00","       1224.20","       1234.00","       1237.15","       1241.16","    6563999","          8146961247.45","     156479","    1746108","         26.60"
"KOTAKBANK","EQ","13-Dec-2018","       1237.15","       1240.00","       1271.80","       1228.60","       1268.60","       1264.40","       1249.77","    4227732","          5283676268.75","     103578","    1445798","         34.20"
"KOTAKBANK","EQ","14-Dec-2018","       1264.40","       1264.40","       1271.70","       1247.10","       1256.60","       1255.95","       1260.29","    2671529","          3366891607.90","      71621","     888933","         33.27"
"KOTAKBANK","EQ","17-Dec-2018","       1255.95","       1260.00","       1266.00","       1207.05","       1222.00","       1222.45","       1227.21","    7385641","          9063729901.40","     185821","    1661496","         22.50"
"KOTAKBANK","EQ","18-Dec-2018","       1222.45","       1214.90","       1239.65","       1214.00","       1236.90","       1237.10","       1226.80","    3678466","          4512733764.05","      99818","    1298611","         35.30"
"KOTAKBANK","EQ","19-Dec-2018","       1237.10","       1238.80","       1245.70","       1222.10","       1224.10","       1225.65","       1231.77","    3032003","          3734735956.85","      85724","    1411756","         46.56"
"KOTAKBANK","EQ","20-Dec-2018","       1225.65","       1219.80","       1239.40","       1215.60","       1237.00","       1236.30","       1228.82","    2300954","          2827469377.10","      62921","     635031","         27.60"
"KOTAKBANK","EQ","21-Dec-2018","       1236.30","       1240.00","       1242.90","       1223.65","       1228.00","       1227.20","       1230.79","    2208029","          2717611747.15","      70540","     882837","         39.98"
