"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","13-Jul-2020","       3314.15","       3360.00","       3378.00","       3216.20","       3244.60","       3234.60","       3281.88","   13136482","         43112330183.60","     447486","    1396766","         10.63"
"BAJFINANCE","EQ","14-Jul-2020","       3234.60","       3219.80","       3219.80","       3122.35","       3188.75","       3190.95","       3162.78","   12404466","         39232550996.85","     414599","    1355740","         10.93"
"BAJFINANCE","EQ","15-Jul-2020","       3190.95","       3230.00","       3297.70","       3122.25","       3166.50","       3149.25","       3237.92","   10980342","         35553460352.45","     370885","     886262","          8.07"
"BAJFINANCE","EQ","16-Jul-2020","       3149.25","       3180.00","       3215.00","       3102.30","       3203.00","       3204.80","       3162.42","    9999964","         31624067395.80","     362697","     686414","          6.86"
"BAJFINANCE","EQ","17-Jul-2020","       3204.80","       3210.00","       3323.00","       3205.00","       3315.00","       3301.30","       3272.74","    8425645","         27574962977.55","     293879","    1536539","         18.24"
"BAJFINANCE","EQ","20-Jul-2020","       3301.30","       3344.95","       3453.95","       3316.50","       3436.00","       3441.50","       3389.56","   10556334","         35781338149.60","     358852","    1318473","         12.49"
"BAJFINANCE","EQ","21-Jul-2020","       3441.50","       3500.00","       3519.50","       3218.65","       3304.00","       3292.45","       3385.18","   25960105","         87879718668.40","     979111","    3265335","         12.58"
"BAJFINANCE","EQ","22-Jul-2020","       3292.45","       3320.00","       3340.00","       3193.60","       3250.00","       3253.00","       3265.62","   17070171","         55744629463.15","     644441","    1579005","          9.25"
"BAJFINANCE","EQ","23-Jul-2020","       3253.00","       3253.00","       3320.00","       3216.05","       3296.05","       3297.80","       3288.19","    8718708","         28668767783.35","     315794","     766788","          8.79"
"BAJFINANCE","EQ","24-Jul-2020","       3297.80","       3245.00","       3290.00","       3220.00","       3250.00","       3251.85","       3251.26","    6637888","         21581471286.80","     257319","     611944","          9.22"
"BAJFINANCE","EQ","27-Jul-2020","       3251.85","       3263.00","       3280.00","       3152.20","       3177.10","       3171.15","       3188.34","    7089907","         22605056052.35","     276903","     962337","         13.57"
"BAJFINANCE","EQ","28-Jul-2020","       3171.15","       3175.00","       3260.00","       3161.20","       3238.00","       3239.60","       3219.37","    8211858","         26437049354.85","     273044","     880493","         10.72"
"BAJFINANCE","EQ","29-Jul-2020","       3239.60","       3245.00","       3329.00","       3239.60","       3270.00","       3284.25","       3286.37","    8070284","         26521950468.30","     279614","     862838","         10.69"
"BAJFINANCE","EQ","30-Jul-2020","       3284.25","       3295.40","       3324.00","       3205.05","       3220.00","       3218.30","       3268.45","    6508389","         21272321254.40","     232696","     952011","         14.63"
"BAJFINANCE","EQ","31-Jul-2020","       3218.30","       3236.00","       3273.00","       3181.25","       3258.00","       3251.30","       3232.44","    7235401","         23388003254.30","     245994","     550139","          7.60"
"BAJFINANCE","EQ","03-Aug-2020","       3251.30","       3244.00","       3244.00","       3169.00","       3172.20","       3174.50","       3196.24","    4464171","         14268550530.50","     165862","     695383","         15.58"
"BAJFINANCE","EQ","04-Aug-2020","       3174.50","       3202.00","       3260.00","       3142.85","       3239.35","       3235.60","       3214.31","    6679173","         21468909256.25","     223348","     698522","         10.46"
"BAJFINANCE","EQ","05-Aug-2020","       3235.60","       3256.00","       3330.00","       3247.95","       3270.00","       3262.15","       3295.61","    6985383","         23021066397.30","     231994","     957372","         13.71"
"BAJFINANCE","EQ","06-Aug-2020","       3262.15","       3292.00","       3378.80","       3255.00","       3345.00","       3345.20","       3322.72","    8172921","         27156299474.70","     271021","    1031076","         12.62"
"BAJFINANCE","EQ","07-Aug-2020","       3345.20","       3333.00","       3481.45","       3310.00","       3470.30","       3464.30","       3418.52","   10151345","         34702546921.25","     346994","    1155163","         11.38"
"BAJFINANCE","EQ","10-Aug-2020","       3464.30","       3494.00","       3556.85","       3413.20","       3434.05","       3442.95","       3486.64","    7129352","         24857473051.35","     264266","    1301172","         18.25"
"BAJFINANCE","EQ","11-Aug-2020","       3442.95","       3462.30","       3494.55","       3404.70","       3453.95","       3457.40","       3446.88","    5571895","         19205673872.70","     197381","     339137","          6.09"
"BAJFINANCE","EQ","12-Aug-2020","       3457.40","       3425.00","       3450.00","       3362.00","       3421.00","       3418.25","       3413.77","    5662542","         19330625538.40","     202448","     368471","          6.51"
"BAJFINANCE","EQ","13-Aug-2020","       3418.25","       3450.00","       3472.00","       3401.00","       3415.40","       3419.65","       3438.56","    4663383","         16035337733.80","     148654","     396103","          8.49"
"BAJFINANCE","EQ","14-Aug-2020","       3419.65","       3425.00","       3448.80","       3306.20","       3331.00","       3331.10","       3374.14","    5532004","         18665751613.60","     206024","     702024","         12.69"
"BAJFINANCE","EQ","17-Aug-2020","       3331.10","       3350.00","       3399.50","       3312.40","       3399.00","       3384.80","       3354.99","    4670621","         15669885120.20","     163321","     391039","          8.37"
"BAJFINANCE","EQ","18-Aug-2020","       3384.80","       3399.00","       3437.95","       3366.60","       3421.95","       3419.90","       3403.77","    4706306","         16019161403.75","     154182","     487497","         10.36"
"BAJFINANCE","EQ","19-Aug-2020","       3419.90","       3447.00","       3465.00","       3401.00","       3415.00","       3409.95","       3438.55","    4199099","         14438824773.90","     136081","     344681","          8.21"
"BAJFINANCE","EQ","20-Aug-2020","       3409.95","       3378.00","       3414.50","       3353.05","       3400.00","       3393.80","       3387.18","    3677466","         12456224316.95","     125258","     338376","          9.20"
"BAJFINANCE","EQ","21-Aug-2020","       3393.80","       3430.00","       3440.00","       3380.00","       3390.00","       3389.30","       3414.38","    2627381","          8970865585.50","      89362","     238514","          9.08"
"BAJFINANCE","EQ","24-Aug-2020","       3389.30","       3403.00","       3515.00","       3401.05","       3493.00","       3492.05","       3469.56","    6205576","         21530631062.10","     208646","     983175","         15.84"
"BAJFINANCE","EQ","25-Aug-2020","       3492.05","       3525.00","       3660.00","       3510.00","       3658.00","       3642.90","       3579.12","    9854070","         35268945699.40","     339815","    1498309","         15.20"
"BAJFINANCE","EQ","26-Aug-2020","       3642.90","       3665.00","       3707.00","       3631.00","       3638.20","       3645.55","       3668.17","    6665336","         24449584439.70","     213994","     944373","         14.17"
"BAJFINANCE","EQ","27-Aug-2020","       3645.55","       3656.95","       3668.40","       3596.40","       3636.00","       3632.50","       3631.13","    4611132","         16743605597.40","     162374","     387513","          8.40"
"BAJFINANCE","EQ","28-Aug-2020","       3632.50","       3650.00","       3688.00","       3617.05","       3672.05","       3670.80","       3652.77","    4251575","         15530025131.10","     137033","     434147","         10.21"
"BAJFINANCE","EQ","31-Aug-2020","       3670.80","       3715.00","       3749.85","       3465.00","       3478.50","       3487.80","       3602.93","    8529788","         30732236751.75","     293454","    1321559","         15.49"
"BAJFINANCE","EQ","01-Sep-2020","       3487.80","       3517.00","       3674.00","       3500.20","       3640.00","       3643.85","       3593.45","    6065233","         21795132005.95","     203356","     443778","          7.32"
"BAJFINANCE","EQ","02-Sep-2020","       3643.85","       3642.70","       3680.00","       3573.45","       3665.00","       3668.65","       3629.84","    4281052","         15539554666.05","     174252","     427942","         10.00"
"BAJFINANCE","EQ","03-Sep-2020","       3668.65","       3668.00","       3676.75","       3605.00","       3618.00","       3619.70","       3634.88","    3221369","         11709292467.35","     127170","     299117","          9.29"
"BAJFINANCE","EQ","04-Sep-2020","       3619.70","       3541.50","       3649.80","       3520.75","       3617.00","       3596.80","       3600.48","    4914709","         17695320344.95","     176436","     457362","          9.31"
"BAJFINANCE","EQ","07-Sep-2020","       3596.80","       3607.00","       3629.00","       3477.60","       3508.00","       3505.15","       3537.24","    4665183","         16501853361.95","     177319","     465085","          9.97"
"BAJFINANCE","EQ","08-Sep-2020","       3505.15","       3520.00","       3574.90","       3475.00","       3494.75","       3500.00","       3528.43","    4448718","         15696968571.40","     169008","     325576","          7.32"
"BAJFINANCE","EQ","09-Sep-2020","       3500.00","       3477.00","       3493.45","       3392.45","       3430.00","       3422.85","       3427.58","    4563247","         15640891169.35","     205939","     598743","         13.12"
"BAJFINANCE","EQ","10-Sep-2020","       3422.85","       3456.50","       3523.45","       3418.00","       3490.00","       3498.70","       3476.68","    4762302","         16557021170.20","     179649","     383143","          8.05"
"BAJFINANCE","EQ","11-Sep-2020","       3498.70","       3490.00","       3557.70","       3456.70","       3536.35","       3544.40","       3518.93","    4608384","         16216565410.10","     182451","     419249","          9.10"
"BAJFINANCE","EQ","14-Sep-2020","       3544.40","       3557.00","       3575.05","       3420.00","       3438.00","       3440.70","       3488.91","    4531611","         15810396758.60","     196826","     829162","         18.30"
"BAJFINANCE","EQ","15-Sep-2020","       3440.70","       3475.00","       3524.20","       3455.00","       3515.00","       3513.40","       3495.74","    3893649","         13611192051.55","     151339","     577507","         14.83"
"BAJFINANCE","EQ","16-Sep-2020","       3513.40","       3517.95","       3567.40","       3481.65","       3512.30","       3521.50","       3535.02","    3907721","         13813856435.55","     146385","     670714","         17.16"
"BAJFINANCE","EQ","17-Sep-2020","       3521.50","       3488.80","       3517.00","       3456.20","       3462.05","       3471.95","       3482.54","    2781196","          9685613386.15","     123232","     399799","         14.38"
"BAJFINANCE","EQ","18-Sep-2020","       3471.95","       3491.40","       3503.80","       3429.00","       3470.65","       3474.80","       3465.53","    3769116","         13061995301.40","     128349","     780029","         20.70"
"BAJFINANCE","EQ","21-Sep-2020","       3474.80","       3462.80","       3467.00","       3314.25","       3321.85","       3330.15","       3385.27","    3627585","         12280363655.50","     172674","     510207","         14.06"
"BAJFINANCE","EQ","22-Sep-2020","       3330.15","       3329.00","       3353.80","       3217.05","       3312.00","       3303.00","       3281.03","    4224977","         13862276308.65","     197724","     391924","          9.28"
"BAJFINANCE","EQ","23-Sep-2020","       3303.00","       3330.00","       3344.00","       3200.20","       3237.95","       3243.85","       3269.76","    4244428","         13878277085.85","     173392","     590609","         13.91"
"BAJFINANCE","EQ","24-Sep-2020","       3243.85","       3191.00","       3194.75","       3006.90","       3030.65","       3028.90","       3090.37","    5963849","         18430501283.40","     285795","    1290483","         21.64"
"BAJFINANCE","EQ","25-Sep-2020","       3028.90","       3080.00","       3167.15","       3028.80","       3132.00","       3138.95","       3103.63","    6232618","         19343717572.20","     254473","     912862","         14.65"
"BAJFINANCE","EQ","28-Sep-2020","       3138.95","       3178.00","       3350.00","       3162.75","       3340.00","       3335.15","       3289.50","    5588695","         18384007459.20","     215213","     541817","          9.69"
"BAJFINANCE","EQ","29-Sep-2020","       3335.15","       3358.00","       3372.00","       3254.50","       3287.00","       3294.75","       3299.72","    4643491","         15322237047.05","     180730","     273340","          5.89"
"BAJFINANCE","EQ","30-Sep-2020","       3294.75","       3293.90","       3343.85","       3260.00","       3265.00","       3278.60","       3303.74","    3603553","         11905195757.95","     143717","     280188","          7.78"
"BAJFINANCE","EQ","01-Oct-2020","       3278.60","       3325.00","       3460.00","       3315.05","       3444.00","       3442.80","       3406.90","    5382106","         18336313212.15","     206716","     733573","         13.63"
"BAJFINANCE","EQ","05-Oct-2020","       3442.80","       3465.00","       3519.00","       3370.25","       3379.95","       3382.90","       3426.65","    4207264","         14416834087.30","     171869","     464426","         11.04"
"BAJFINANCE","EQ","06-Oct-2020","       3382.90","       3439.90","       3480.00","       3391.20","       3470.00","       3474.30","       3442.98","    4758841","         16384601856.55","     183219","     665357","         13.98"
"BAJFINANCE","EQ","07-Oct-2020","       3474.30","       3400.00","       3400.00","       3285.30","       3333.00","       3331.15","       3335.29","    6571280","         21917134353.65","     293536","    1182834","         18.00"
"BAJFINANCE","EQ","08-Oct-2020","       3331.15","       3354.00","       3388.00","       3302.00","       3324.90","       3326.45","       3345.30","    4461846","         14926197086.40","     175638","     578670","         12.97"
"BAJFINANCE","EQ","09-Oct-2020","       3326.45","       3324.90","       3418.45","       3305.00","       3325.15","       3317.90","       3358.45","    5684150","         19089938563.40","     217923","     912568","         16.05"
"BAJFINANCE","EQ","12-Oct-2020","       3317.90","       3350.00","       3379.40","       3305.00","       3327.05","       3327.20","       3333.01","    3204677","         10681209029.95","     124019","     208176","          6.50"
"BAJFINANCE","EQ","13-Oct-2020","       3327.20","       3319.95","       3340.00","       3243.65","       3274.00","       3272.60","       3285.83","    3777675","         12412796468.10","     153498","     434476","         11.50"
"BAJFINANCE","EQ","14-Oct-2020","       3272.60","       3268.00","       3382.35","       3232.70","       3364.50","       3372.05","       3310.05","    5304447","         17557986550.60","     185551","     642179","         12.11"
"BAJFINANCE","EQ","15-Oct-2020","       3372.05","       3368.20","       3370.00","       3201.00","       3204.00","       3214.75","       3281.93","    5268171","         17289783532.40","     231546","     971202","         18.44"
"BAJFINANCE","EQ","16-Oct-2020","       3214.75","       3236.35","       3269.45","       3170.10","       3228.00","       3231.35","       3231.46","    5076251","         16403677907.15","     195389","     476807","          9.39"
"BAJFINANCE","EQ","19-Oct-2020","       3231.35","       3255.10","       3294.70","       3196.60","       3258.55","       3267.20","       3247.10","    4206802","         13659900718.10","     189366","     847463","         20.15"
